Source,Target,Weight
0,5,0.19970866115248156
0,6,0.19970866115248156
0,7,0.19970866115248156
0,8,0.19970866115248156
0,9,0.19970866115248156
0,10,0.19970866115248156
0,11,0.19970866115248156
0,12,0.19970866115248156
0,13,0.19970866115248156
0,14,0.19970866115248156
0,15,0.19970866115248156
0,16,0.19970866115248156
0,32,0.008556798059903366
1,5,0.19970866115248156
1,6,0.19970866115248156
1,7,0.19970866115248156
1,8,0.19970866115248156
1,9,0.19970866115248156
1,10,0.19970866115248156
1,11,0.19970866115248156
1,12,0.19970866115248156
1,13,0.19970866115248156
1,14,0.19970866115248156
1,15,0.19970866115248156
1,16,0.19970866115248156
1,32,0.008556798059903366
24,0,0.00625
24,1,0.00625
24,2,0.00625
24,3,0.00625
24,4,0.00625
24,5,0.00625
24,6,0.00625
24,7,0.00625
24,8,0.00625
24,9,0.00625
24,10,0.00625
24,11,0.00625
24,12,0.00625
24,13,0.00625
24,14,0.00625
24,15,0.00625
24,16,0.00625
24,17,0.00625
24,18,0.00625
24,19,0.00625
24,20,0.00625
24,21,0.00625
24,22,0.00625
24,23,0.00625
24,25,0.00625
24,26,0.00625
24,27,0.00625
24,28,0.00625
24,29,0.00625
24,31,0.00625
24,32,0.00625
24,33,0.00625
25,0,0.00625
25,1,0.00625
25,2,0.00625
25,3,0.00625
25,4,0.00625
25,5,0.00625
25,6,0.00625
25,7,0.00625
25,8,0.00625
25,9,0.00625
25,10,0.00625
25,11,0.00625
25,12,0.00625
25,13,0.00625
25,14,0.00625
25,15,0.00625
25,16,0.00625
25,17,0.00625
25,18,0.00625
25,19,0.00625
25,20,0.00625
25,21,0.00625
25,22,0.00625
25,23,0.00625
25,24,0.00625
25,26,0.00625
25,27,0.00625
25,28,0.00625
25,29,0.00625
25,31,0.00625
25,32,0.00625
25,33,0.00625
31,0,0.00625
31,1,0.00625
31,2,0.00625
31,3,0.00625
31,4,0.00625
31,5,0.00625
31,6,0.00625
31,7,0.00625
31,8,0.00625
31,9,0.00625
31,10,0.00625
31,11,0.00625
31,12,0.00625
31,13,0.00625
31,14,0.00625
31,15,0.00625
31,16,0.00625
31,17,0.00625
31,18,0.00625
31,19,0.00625
31,20,0.00625
31,21,0.00625
31,22,0.00625
31,23,0.00625
31,24,0.00625
31,25,0.00625
31,26,0.00625
31,27,0.00625
31,28,0.00625
31,29,0.00625
31,32,0.00625
31,33,0.00625
2,Damage,0.8
3,Damage,0.8
5,Damage,0.1096969696969697
5,5,0.16000000000000003
6,Damage,0.1096969696969697
6,6,0.16000000000000003
7,Damage,0.1096969696969697
7,7,0.15000000000000002
8,Damage,0.1096969696969697
8,8,0.15000000000000002
13,Damage,0.05484848484848485
14,Damage,0.05484848484848485
15,Damage,0.2
16,Damage,0.2
0,Cost,0.2
1,Cost,0.2
5,Cost,0.12
5,5,0.16000000000000003
6,Cost,0.12
6,6,0.16000000000000003
7,Cost,0.15
7,7,0.15000000000000002
8,Cost,0.15
8,8,0.15000000000000002
9,Cost,0.2
9,9,0.15000000000000002
10,Cost,0.2
10,10,0.15000000000000002
11,Cost,0.1
11,11,0.15000000000000002
12,Cost,0.1
12,12,0.15000000000000002
13,Cost,0.4
14,Cost,0.4
15,Cost,0.2
16,Cost,0.2
17,Cost,0.6
18,Cost,0.2
20,Cost,0.4
21,Cost,0.4
22,Cost,0.4
23,Cost,0.4
31,Cost,0.075
31,31,0.17500000000000002
32,Cost,0.8
13,Evade,0.05484848484848485
14,Evade,0.05484848484848485
9,Investigate,0.1096969696969697
9,9,0.15000000000000002
10,Investigate,0.1096969696969697
10,10,0.15000000000000002
19,Investigate,0.4
2,Resourceful,0.8
3,Resourceful,0.8
4,Resourceful,0.6
0,0,0.8
1,1,0.8
2,2,0.8
3,3,0.8
4,4,0.8
5,5,0.8
6,6,0.8
7,7,0.8
8,8,0.8
9,9,0.8
10,10,0.8
11,11,0.8
12,12,0.8
13,13,0.8
14,14,0.8
15,15,0.8
16,16,0.8
17,17,0.8
18,18,0.8
19,19,0.8
20,20,0.8
21,21,0.8
22,22,0.8
23,23,0.8
24,24,0.8
25,25,0.8
26,26,0.8
27,27,0.8
28,28,0.8
29,29,0.8
31,31,0.8
32,32,0.8
33,33,0.8
Damage,Damage,1.0
Cost,Cost,1.0
Evade,Evade,1.0
Investigate,Investigate,1.0
Resourceful,Resourceful,1.0
Action,Action1,1.0
Action1,Action2,1.0
Action2,Action,1.0
Action2,0,0.030303030303030304
Action2,1,0.030303030303030304
Action2,2,0.030303030303030304
Action2,3,0.030303030303030304
Action2,4,0.030303030303030304
Action2,5,0.030303030303030304
Action2,6,0.030303030303030304
Action2,7,0.030303030303030304
Action2,8,0.030303030303030304
Action2,9,0.030303030303030304
Action2,10,0.030303030303030304
Action2,11,0.030303030303030304
Action2,12,0.030303030303030304
Action2,13,0.030303030303030304
Action2,14,0.030303030303030304
Action2,15,0.030303030303030304
Action2,16,0.030303030303030304
Action2,17,0.030303030303030304
Action2,18,0.030303030303030304
Action2,19,0.030303030303030304
Action2,20,0.030303030303030304
Action2,21,0.030303030303030304
Action2,22,0.030303030303030304
Action2,23,0.030303030303030304
Action2,24,0.030303030303030304
Action2,25,0.030303030303030304
Action2,26,0.030303030303030304
Action2,27,0.030303030303030304
Action2,28,0.030303030303030304
Action2,29,0.030303030303030304
Action2,31,0.030303030303030304
Action2,32,0.030303030303030304
Action2,33,0.030303030303030304
